"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0043543","protein acylation",62,-0.367200447831583,-1.69493612402222,0.00295258942161527,0.024123283785112,0.0183944447356323,10650,"tags=71%, list=41%, signal=42%","AT1G02440/AT3G63420/AT1G12220/AT5G17060/AT5G63020/AT1G32070/AT5G39950/AT1G26220/AT4G23650/AT3G49370/AT2G35350/AT1G12290/AT4G19985/AT1G70490/AT1G02110/AT2G22310/AT1G23490/AT1G67800/AT2G46920/AT3G44480/AT1G24040/AT2G33640/AT1G52320/AT5G21170/AT2G11000/AT3G22942/AT4G29040/AT3G03120/AT5G24430/AT5G50860/AT1G07110/AT1G16710/AT2G47170/AT5G16800/AT3G12980/AT1G79000/AT3G19240/AT2G06025/AT3G22950/AT4G39910/AT2G26300/AT3G54840/AT3G62290/AT1G63360"
"GO:0008356","asymmetric cell division",33,0.748996832912357,1.82125189220573,0.00307398220221107,0.0250263427346089,0.0190830436878939,607,"tags=9%, list=2%, signal=9%","AT1G13620/AT2G04025/AT2G03830"
"GO:0010876","lipid localization",142,0.595618347913706,1.65896122648781,0.00314341714438183,0.0254120459672131,0.0193771494514249,1596,"tags=12%, list=6%, signal=11%","AT3G22600/AT2G37870/AT3G18280/AT2G16005/AT3G51600/AT1G48750/AT2G38530/AT1G73780/AT2G48130/AT3G43720/AT4G18550/AT2G44300/AT1G21360/AT1G27950/AT2G13820/AT5G52050/AT5G51210"
"GO:0000271","polysaccharide biosynthetic process",251,0.547457899464659,1.54474426210194,0.00313888756946334,0.0254120459672131,0.0193771494514249,2307,"tags=17%, list=9%, signal=16%","AT2G28315/AT4G18780/AT5G17420/AT5G44030/AT2G37090/AT5G15630/AT3G50220/AT3G55990/AT1G68725/AT1G27440/AT5G54690/AT5G67230/AT1G02730/AT2G38320/AT4G09990/AT4G37450/AT2G28110/AT5G67210/AT3G18660/AT5G41040/AT1G09610/AT4G33330/AT1G33800/AT1G63180/AT2G47670/AT1G44830/AT5G01360/AT2G28760/AT5G06610/AT1G19300/AT2G32620/AT3G14570/AT1G32900/AT1G67330/AT2G32610/AT1G73140/AT1G12780/AT4G15290/AT1G05610/AT5G49270/AT1G06490/AT4G24910/AT5G59290"
"GO:0071216","cellular response to biotic stimulus",18,-0.563928574890911,-1.87157258004531,0.00316547744287877,0.0254120558480582,0.0193771569857498,4608,"tags=61%, list=18%, signal=50%","AT5G10720/AT3G21630/AT2G33550/AT3G01300/AT5G24360/AT5G15080/AT1G43850/AT3G28690/AT2G32700/AT4G32551/AT5G47120"
"GO:0046686","response to cadmium ion",76,0.66997780197584,1.81220224894759,0.00316452917117149,0.0254120558480582,0.0193771569857498,1044,"tags=17%, list=4%, signal=16%","AT4G02520/AT1G02920/AT4G23670/AT1G02930/AT2G26560/AT1G71050/AT2G30860/AT5G65140/AT4G21680/AT1G22990/AT2G19110/AT4G04460/AT5G17450"
"GO:0006364","rRNA processing",234,0.542522921896702,1.53603750747131,0.00317922252583201,0.0254337802066561,0.0193937222061902,3665,"tags=32%, list=14%, signal=28%","AT4G25630/AT3G57150/AT1G48920/AT2G20490/AT3G03920/AT4G12600/AT1G52930/AT5G08180/AT5G52470/AT3G22660/AT1G25260/AT1G29250/AT5G15750/AT5G20160/AT5G62440/AT3G18600/AT3G10090/AT4G25730/AT5G14520/AT5G16130/AT5G02610/AT2G40360/AT2G09990/AT1G23280/AT4G22380/AT1G63780/AT5G64140/AT3G23620/AT2G44120/AT4G28450/AT2G43650/AT1G03360/AT1G80750/AT3G62870/AT1G31970/AT5G55920/AT3G28230/AT5G06360/AT4G32720/AT1G22270/AT5G27990/AT1G15420/AT3G53460/AT2G19385/AT3G11964/AT2G25355/AT2G01250/AT2G47610/AT5G59240/AT3G09500/AT1G31660/AT3G02560/AT5G22100/AT5G57280/AT3G04230/AT4G28820/AT4G01560/AT3G17170/AT3G55170/AT3G07750/AT5G20290/AT2G39390/AT3G06530/AT4G24770/AT1G65030/AT4G28200/AT5G16750/AT2G37990/AT3G13580/AT3G57000/AT5G18380/AT5G27700/AT3G10530/AT5G38720/AT4G28830/AT2G47990"
"GO:0006898","receptor-mediated endocytosis",41,-0.427046678622906,-1.81479729979401,0.00323204811694324,0.0257669164755613,0.019647744699247,7726,"tags=56%, list=30%, signal=39%","AT4G34660/AT1G75100/AT1G47830/AT5G57460/AT3G07960/AT1G75310/AT4G32285/AT1G14910/AT4G12770/AT1G21660/AT5G22770/AT4G12780/AT5G22780/AT5G42080/AT2G26890/AT5G24710/AT5G35200/AT3G11130/AT1G59610/AT2G25430/AT3G08530/AT2G01600/AT2G40060"
"GO:0008037","cell recognition",45,-0.416460402208711,-1.80365551457744,0.00337894307903323,0.0268451201865261,0.0204698947328728,11757,"tags=73%, list=46%, signal=40%","AT1G61440/AT1G61420/AT1G61460/AT1G61390/AT1G61400/AT1G11340/AT1G61360/AT1G11350/AT3G49500/AT5G03700/AT2G41890/AT1G61430/AT1G61490/AT1G10180/AT1G11280/AT1G61380/AT4G00340/AT1G61370/AT3G56640/AT1G11410/AT1G47560/AT1G71820/AT4G03230/AT1G21170/AT1G34300/AT4G02350/AT1G76850/AT3G10380/AT5G49830/AT5G61230/AT1G47550/AT5G12370/AT3G02360"
"GO:0035825","homologous recombination",73,-0.357560903016568,-1.75189931128935,0.00344304701330548,0.0270743355585523,0.0206446756429202,11231,"tags=75%, list=44%, signal=43%","AT3G27730/AT4G26720/AT1G67180/AT4G15802/AT5G63920/AT1G63990/AT4G17380/AT4G27595/AT1G13330/AT1G22275/AT1G22260/AT4G14180/AT3G20475/AT1G05180/AT3G22880/AT5G64520/AT1G65010/AT3G27120/AT1G01690/AT3G02930/AT4G24710/AT4G14970/AT4G29560/AT1G35530/AT5G57880/AT3G19210/AT1G60460/AT3G02680/AT1G07745/AT5G16730/AT1G67370/AT5G63540/AT5G55260/AT4G32190/AT1G15940/AT1G53490/AT5G48390/AT3G13170/AT1G80810/AT2G33640/AT1G12790/AT5G41150/AT1G77320/AT1G04650/AT1G77600/AT5G22010/AT4G30870/AT2G06510/AT3G60310/AT5G66030/AT1G78790/AT5G23610/AT4G31880/AT5G47690/AT5G63370"
