"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.09751243101061e-40,1.92214500181975,0.688,0.337,2.82982605211775e-36,"protoxylem early","AT1G64980"
1.24599739271746e-40,1.24191215569631,0.909,0.59,3.2126796773827e-36,"protoxylem early","AT5G51400"
1.30891663287641e-40,1.76087865191573,0.586,0.21,3.37491064620853e-36,"protoxylem early","AT4G20170"
1.34763103249127e-40,1.93720229499023,0.392,0.1,3.4747318541755e-36,"protoxylem early","AT1G61260"
1.38704708904069e-40,1.33237684365114,0.86,0.554,3.57636221438252e-36,"protoxylem early","AT4G32410"
1.53909620199193e-40,2.39523166940717,0.296,0.061,3.96840564721599e-36,"protoxylem early","AT4G33950"
1.54795585401278e-40,2.12918047315365,0.118,0.011,3.99124937398655e-36,"protoxylem early","AT2G25940"
1.81530618472353e-40,1.94989945467701,0.677,0.328,4.68058546669116e-36,"protoxylem early","AT2G01970"
1.89051821657969e-40,1.17300009608488,0.892,0.616,4.87451216962908e-36,"protoxylem early","AT1G50670"
2.33926735678907e-40,2.20055274127754,0.527,0.189,6.03156695274495e-36,"protoxylem early","AT4G08810"
2.48076482646755e-40,1.15609472284246,0.946,0.683,6.39640402856394e-36,"protoxylem early","AT2G34250"
2.82542919408108e-40,2.10113007866368,0.425,0.122,7.28508663401866e-36,"protoxylem early","AT1G77260"
3.22308112021571e-40,1.65468311373434,0.672,0.269,8.31039236036419e-36,"protoxylem early","AT5G64850"
3.72133425121912e-40,2.86082083576106,0.118,0.011,9.59508823334337e-36,"protoxylem early","AT4G39320"
4.18314164391793e-40,1.39175989562131,0.86,0.523,1.0785812414678e-35,"protoxylem early","AT3G02180"
4.19915969329976e-40,1.58633185695206,0.774,0.417,1.08271133532041e-35,"protoxylem early","AT5G41950"
5.14363397438779e-40,1.19945011873362,0.903,0.606,1.32623458395615e-35,"protoxylem early","AT2G24765"
5.68861663563928e-40,1.38325499652736,0.188,0.026,1.46675291333323e-35,"protoxylem early","AT3G45610"
7.44791086654876e-40,1.79679278001552,0.704,0.351,1.92036933783093e-35,"protoxylem early","AT1G79990"
7.86214571229263e-40,1.93974083608904,0.629,0.283,2.02717565045753e-35,"protoxylem early","AT1G70730"
8.23779045284415e-40,2.19443869726451,0.586,0.245,2.12403189036134e-35,"protoxylem early","AT3G58540"
8.25642284506388e-40,0.975382498222086,0.968,0.745,2.12883606637127e-35,"protoxylem early","AT2G33470"
8.88027150684145e-40,2.6876447217382,0.242,0.043,2.289689205324e-35,"protoxylem early","AT4G13345"
9.30525646118862e-40,2.16336531303908,0.43,0.123,2.39926732595287e-35,"protoxylem early","AT3G61590"
9.4139598870241e-40,2.04701951546498,0.629,0.274,2.42729541727029e-35,"protoxylem early","AT1G64650"
9.64192662328098e-40,1.67488884686189,0.715,0.323,2.48607436054677e-35,"protoxylem early","AT3G23810"
1.07268117334522e-39,1.68035526188576,0.737,0.392,2.76580113735331e-35,"protoxylem early","AT1G20575"
1.37407133526758e-39,0.989044674143781,0.978,0.787,3.54290553085392e-35,"protoxylem early","AT4G27960"
1.81069315061868e-39,1.39159828149175,0.828,0.477,4.6686912195552e-35,"protoxylem early","AT1G59610"
2.11928328003259e-39,2.46755816297352,0.462,0.152,5.46436000923604e-35,"protoxylem early","AT3G10760"
2.67527872071592e-39,1.53074180495073,0.753,0.382,6.89793865349394e-35,"protoxylem early","AT1G36050"
3.18720913581727e-39,2.19734834690729,0.548,0.217,8.21790003579125e-35,"protoxylem early","AT4G36890"
3.35557218076825e-39,2.71788670474722,0.161,0.021,8.65200731089285e-35,"protoxylem early","AT1G51170"
3.63460090368285e-39,1.70545693068678,0.72,0.38,9.37145497005586e-35,"protoxylem early","AT3G57890"
3.95708091658784e-39,2.15148569083269,0.511,0.179,1.02029374353301e-34,"protoxylem early","AT2G35470"
5.45708943799023e-39,1.69396957714078,0.672,0.313,1.4070559406914e-34,"protoxylem early","AT1G31300"
6.09993563482358e-39,3.57699254130519,0.108,0.01,1.57280740408291e-34,"protoxylem early","AT4G25490"
9.46253376689065e-39,1.53320657548459,0.753,0.39,2.43981970645509e-34,"protoxylem early","AT4G26650"
1.24826979125432e-38,1.51516239479893,0.258,0.047,3.21853882977014e-34,"protoxylem early","AT3G56060"
1.26536050885259e-38,0.977098043975384,0.726,0.305,3.26260553602551e-34,"protoxylem early","AT1G80240"
1.28475470913274e-38,1.73068327646995,0.694,0.334,3.31261154202785e-34,"protoxylem early","AT4G21600"
1.75305864663053e-38,2.6184238109287,0.263,0.052,4.52008641447215e-34,"protoxylem early","AT5G46080"
1.87863892435858e-38,2.05569966522343,0.505,0.175,4.84388260256616e-34,"protoxylem early","AT5G55090"
1.9016487511918e-38,1.48614951427661,0.747,0.391,4.90321114007293e-34,"protoxylem early","AT4G20410"
1.95288399007973e-38,1.72282886864552,0.495,0.16,5.03531608002158e-34,"protoxylem early","AT3G50780"
2.00508262883079e-38,2.1753540165061,0.468,0.152,5.16990505017732e-34,"protoxylem early","AT2G46780"
2.21347266088083e-38,1.16055614356684,0.86,0.531,5.70721790881512e-34,"protoxylem early","AT5G46630"
2.29343858108324e-38,0.995449294412158,0.952,0.748,5.91340203746502e-34,"protoxylem early","AT2G44060"
3.3155521644349e-38,1.46007161173832,0.855,0.569,8.54881970077894e-34,"protoxylem early","AT5G16880"
3.41447732025155e-38,2.50751187333545,0.199,0.031,8.80388832253659e-34,"protoxylem early","AT4G25480"
3.68491113848466e-38,1.44615944232153,0.796,0.456,9.50117487946886e-34,"protoxylem early","AT4G39220"
3.8447034566108e-38,1.29867491145204,0.763,0.39,9.9131833925253e-34,"protoxylem early","AT1G19835"
4.36262994356039e-38,1.11029925437472,0.909,0.622,1.12486050464761e-33,"protoxylem early","AT3G46060"
4.46765058386492e-38,1.39204396593577,0.753,0.37,1.15193902654373e-33,"protoxylem early","AT5G20490"
4.57223129073726e-38,2.88498646501131,0.263,0.053,1.17890411600369e-33,"protoxylem early","AT1G79630"
6.06914978574778e-38,1.45255233683128,0.806,0.458,1.56486958075721e-33,"protoxylem early","AT5G56360"
7.12718270324164e-38,2.9739242199162,0.274,0.058,1.83767278820383e-33,"protoxylem early","ENSRNA049493778"
8.92318704634626e-38,1.50862040435995,0.753,0.393,2.30075454802992e-33,"protoxylem early","AT1G14290"
9.83127626430561e-38,1.32637692911955,0.946,0.702,2.53489627198856e-33,"protoxylem early","AT4G20260"
1.03114089547848e-37,1.9049248655434,0.575,0.227,2.65869368490171e-33,"protoxylem early","AT1G02000"
1.05780946356362e-37,1.58228294735932,0.78,0.45,2.72745592085244e-33,"protoxylem early","AT4G17870"
1.08497322792236e-37,1.97613912414116,0.419,0.121,2.79749497087501e-33,"protoxylem early","AT3G47690"
1.12667563424324e-37,1.8659779863816,0.489,0.158,2.90502045533276e-33,"protoxylem early","AT1G73760"
1.14395565023481e-37,2.92318703010482,0.57,0.246,2.94957524856543e-33,"protoxylem early","AT1G53170"
1.26618007761645e-37,2.29095957000985,0.403,0.116,3.26471871212625e-33,"protoxylem early","AT1G35460"
1.36484922923375e-37,1.20808606194586,0.898,0.558,3.51912725265631e-33,"protoxylem early","AT1G61790"
1.4086106268424e-37,2.07160814791768,0.575,0.235,3.63196164025044e-33,"protoxylem early","AT2G01190"
1.61492683937334e-37,2.74057541639226,0.5,0.186,4.16392736264023e-33,"protoxylem early","AT5G25830"
2.06443697140645e-37,2.62795967983804,0.355,0.089,5.3229442870744e-33,"protoxylem early","AT5G38700"
2.23438994087315e-37,0.916233743153565,0.946,0.772,5.76115102354732e-33,"protoxylem early","AT2G40060"
2.72611934966797e-37,1.0440468526784,0.941,0.625,7.02902613118389e-33,"protoxylem early","AT1G15690"
2.9587111551965e-37,0.912103580079126,0.995,0.96,7.62874084255865e-33,"protoxylem early","AT3G05880"
3.07703007610233e-37,1.59617795485314,0.565,0.198,7.93381434822226e-33,"protoxylem early","AT4G24060"
3.97792930256305e-37,1.74743285143508,0.667,0.326,1.02566929137286e-32,"protoxylem early","AT3G15260"
4.69766209504525e-37,1.37831684974694,0.801,0.463,1.21124519458647e-32,"protoxylem early","AT1G09270"
5.03368032842939e-37,1.47785709053933,0.742,0.397,1.29788413588223e-32,"protoxylem early","AT3G55005"
5.70035291286218e-37,3.24464914417388,0.269,0.057,1.46977899505238e-32,"protoxylem early","AT5G47810"
7.18983922199301e-37,1.65214686474961,0.661,0.318,1.85382814499868e-32,"protoxylem early","AT4G34215"
8.8332489035652e-37,1.84229052884983,0.903,0.658,2.27756489729525e-32,"protoxylem early","AT2G31090"
9.40412828318518e-37,2.0679783644518,0.532,0.21,2.42476043653647e-32,"protoxylem early","AT2G42230"
9.69072081758536e-37,1.90646481890156,0.645,0.307,2.49865545560621e-32,"protoxylem early","AT3G59360"
1.00648664919344e-36,1.8118980909111,0.527,0.187,2.59512517628035e-32,"protoxylem early","AT2G31560"
1.23625131842124e-36,2.5146240839092,0.371,0.103,3.18755039941732e-32,"protoxylem early","AT1G13900"
1.52958326077051e-36,0.984433058704709,0.952,0.726,3.94387747957068e-32,"protoxylem early","AT1G78300"
1.61661841923152e-36,2.23112963595348,0.457,0.152,4.16828893214655e-32,"protoxylem early","AT1G22060"
1.79628041293316e-36,1.03067888910257,0.952,0.67,4.63152941670686e-32,"protoxylem early","AT5G03345"
2.12064785629177e-36,0.905260660679408,0.962,0.752,5.4678784326627e-32,"protoxylem early","AT5G59890"
2.34030895453955e-36,1.01605496596981,0.538,0.175,6.03425260838477e-32,"protoxylem early","AT3G55420"
3.62755014137517e-36,1.08120239810706,0.919,0.651,9.35327528452174e-32,"protoxylem early","AT3G08530"
3.7640455026543e-36,1.73003012965042,0.36,0.09,9.70521492404384e-32,"protoxylem early","AT4G00305"
3.89066536447666e-36,2.40280793485654,0.484,0.178,1.00316915757666e-31,"protoxylem early","AT2G24170"
4.87725189402183e-36,0.779161939520031,0.989,0.856,1.25755062835459e-31,"protoxylem early","AT2G41110"
5.48570753758794e-36,1.39871848946236,0.731,0.364,1.41443483149167e-31,"protoxylem early","AT3G27350"
5.58196890328423e-36,2.13641416963548,0.478,0.168,1.4392548620228e-31,"protoxylem early","AT1G70560"
5.97236366267653e-36,3.18232075645314,0.118,0.013,1.53991424678452e-31,"protoxylem early","AT4G00850"
