"Gene_ID","Cahn_Methylation_status","Bewick_Classification","Both_gbM","Both_TE_like","H2AZ_Depleted","H2AZ_Enriched"
"AT4G29100","Unmethylated","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT4G29103","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G29110","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G29120","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G29130","gbM","gbM",TRUE,FALSE,NA,NA
"AT4G29140","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G29150","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G29160","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT4G29170","Unmethylated","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT4G29180","Unmethylated","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT4G29190","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G29200","TE-like methylation","mCHH",FALSE,TRUE,TRUE,FALSE
"AT4G29210","gbM","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT4G29220","gbM","gbM",TRUE,FALSE,TRUE,FALSE
"AT4G29230","Unmethylated","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT4G29240","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G29250","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G29260","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G29270","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G29273","TE-like methylation","Unmethylated",FALSE,FALSE,NA,NA
"AT4G29280","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G29283","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G29285","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G29290","TE-like methylation","Unmethylated",FALSE,FALSE,NA,NA
"AT4G29300","TE-like methylation","mCHH",FALSE,TRUE,NA,NA
"AT4G29305","TE-like methylation","mCHH",FALSE,TRUE,NA,NA
"AT4G29310","Unmethylated","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT4G29330","gbM","Unmethylated",FALSE,FALSE,TRUE,FALSE
"AT4G29340","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G29350","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G29360","gbM","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT4G29370","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G29380","gbM","gbM",TRUE,FALSE,TRUE,FALSE
"AT4G29390","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G29400","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT4G29410","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT4G29420","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G29430","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G29440","gbM","gbM",TRUE,FALSE,TRUE,FALSE
"AT4G29450","gbM","Unmethylated",FALSE,FALSE,FALSE,TRUE
"AT4G29460","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT4G29470","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G29480","gbM","gbM",TRUE,FALSE,NA,NA
"AT4G29490","gbM","gbM",TRUE,FALSE,TRUE,FALSE
"AT4G29510","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G29520","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT4G29530","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G29540","gbM","gbM",TRUE,FALSE,NA,NA
"AT4G29548","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G29550","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G29560","TE-like methylation","gbM",FALSE,FALSE,NA,NA
"AT4G29570","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G29580","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G29590","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT4G29600","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G29610","TE-like methylation","Unmethylated",FALSE,FALSE,NA,NA
"AT4G29620","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G29630","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G29640","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G29650","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G29654","TE-like methylation","mCHH",FALSE,TRUE,NA,NA
"AT4G29658","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G29660","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G29670","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT4G29680","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT4G29690","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G29700","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G29710","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G29720","Unmethylated","Unmethylated",FALSE,FALSE,NA,NA
"AT4G29730","gbM","Unmethylated",FALSE,FALSE,NA,NA
"AT4G29735","gbM","Unmethylated",FALSE,FALSE,NA,NA
