"gene","variance.standardized","is_hvg","is_responsive","responsive_cell_type","responsive_avg_log2FC","median_within_celltype_cv2","num_celltypes_expressed","cahn_group","bewick_group","h2az_group"
"AT1G74770",1.83940557507902,TRUE,TRUE,"protoxylem ERS+",4.64087395774681,9.35105361289342,6,"gbM","Unmethylated","Other"
"AT1G29540",1.83859310944384,TRUE,FALSE,NA,NA,NA,NA,"gbM","Unmethylated","Other"
"AT3G62460",1.83652904581298,TRUE,TRUE,"epidermis early",3.691850605476,6.55931441686631,2,"Unmethylated","Unmethylated","Other"
"AT1G19380",1.83610646004773,TRUE,TRUE,"root cap early",2.16383832299636,13.0954856414967,6,"Unmethylated","Unmethylated","Other"
"AT1G27730",1.83553585682802,TRUE,TRUE,"border cells",2.47353746829698,6.15774845140347,20,"Unmethylated","Unmethylated","Other"
"AT1G05190",1.83534132821861,TRUE,TRUE,"epidermis early",2.87194230536003,6.11358291146129,5,"Unmethylated","Unmethylated","Other"
"AT1G58590",1.83531286460419,TRUE,TRUE,"endodermis ERS+",5.7814080441111,6.0510262361191,2,NA,NA,NA
"AT1G70890",1.83508359004255,TRUE,FALSE,NA,NA,NA,NA,"TE-like","Unmethylated","Other"
"AT4G02930",1.8350367455211,TRUE,TRUE,"epidermis early",2.88738690008169,4.67379531848063,18,"gbM","Unmethylated","H2A.Z-Depleted"
"AT2G32990",1.83477596521181,TRUE,TRUE,"metaphloem ERS-",3.33624504956049,5.39848496144691,7,"Unmethylated","Unmethylated","H2A.Z-Enriched"
"AT5G56580",1.83470073917041,TRUE,TRUE,"root cap early",2.5119509456755,7.60707776591744,3,"gbM","Unmethylated","Other"
"AT5G57280",1.83433462051751,TRUE,TRUE,"epidermis early",3.14791306713897,12.8455801743078,8,"gbM","Unmethylated","Other"
"AT2G42870",1.83430933134672,TRUE,TRUE,"non-hair cells",1.94382705004261,5.23325412179735,9,"Unmethylated","Unmethylated","Other"
"AT3G47380",1.83414029778393,TRUE,TRUE,"root cap lateral",1.68862808367938,4.01290343217454,9,"Unmethylated","Unmethylated","Other"
"AT5G62290",1.83333009016674,TRUE,TRUE,"epidermis early",2.81898249363392,7.47928386993069,13,"Unmethylated","Unmethylated","Other"
"AT1G08440",1.83327866221927,TRUE,FALSE,NA,NA,NA,NA,"Unmethylated","Unmethylated","H2A.Z-Enriched"
"AT3G19920",1.83323154401645,TRUE,TRUE,"metaxylem ERS+",3.72560826577653,11.2415761383937,3,"Unmethylated","Unmethylated","H2A.Z-Enriched"
"AT1G46264",1.83310183676085,TRUE,FALSE,NA,NA,NA,NA,"Unmethylated","Unmethylated","Other"
"AT2G04800",1.83309096726753,TRUE,TRUE,"procambium ERS-",3.39063567558791,3.59398325772738,18,"Unmethylated","Unmethylated","Other"
"AT1G53140",1.83299441722051,TRUE,TRUE,"epidermis early",3.26852945617519,18.3731802807987,1,"gbM","Unmethylated","H2A.Z-Enriched"
"AT4G16260",1.83252668975985,TRUE,TRUE,"border cells",5.9856495644655,9.57604978581911,3,"Unmethylated","Unmethylated","Other"
"AT5G02570",1.83235979374716,TRUE,FALSE,NA,NA,16.6545501432831,1,"Unmethylated","Unmethylated","Other"
"AT1G52400",1.8321356399995,TRUE,FALSE,NA,NA,NA,NA,"Unmethylated","Unmethylated","H2A.Z-Enriched"
"AT3G60010",1.83200229495316,TRUE,FALSE,NA,NA,NA,NA,"Unmethylated","Unmethylated","Other"
"AT1G02310",1.83195524919007,TRUE,FALSE,NA,NA,NA,NA,"Unmethylated","Unmethylated","Other"
"AT3G24450",1.83067992471968,TRUE,TRUE,"endodermis ERS-",3.27228230288676,4.15588889631247,9,"Unmethylated","Unmethylated","Other"
"AT2G31410",1.83059073277278,TRUE,TRUE,"epidermis early",2.71638101875749,3.14063748407849,11,"Unmethylated","Unmethylated","Other"
"AT3G50310",1.83041068631276,TRUE,TRUE,"columella",4.70195434640947,11.0856818715921,3,"Unmethylated","Unmethylated","Other"
"AT3G26470",1.8297608476181,TRUE,TRUE,"cortex ERS+",3.2833976225407,13.0953548130997,2,"gbM","Unmethylated","Other"
